活动类型,日期,我的最爱,标题,距离,热量消耗,时间,平均心率,最大心率,平均踏频,最大踏频,平均配速,最佳配速,平均步长,平均垂直比,平均垂直摆动,平均触地时间,平均踏频,最大踏频,Training Stress Score®,平均功率,最大功率,Grit,Flow,平均 Swolf,平均划桨率,总次数,潜水时长,最低温度,水面休息时间,减压,最佳单圈时间,圈数,最高温度,移动时间,全程用时
步行,2023-02-10 19:07:40,false,"步行","2.02","221","00:31:56","132","150","89","250","15:51","3:34","0.71","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","21.0","0:00","否","31:56.38","1","28.0","00:22:41","00:31:56"
步行,2023-02-10 17:47:21,false,"步行","0.55","60","00:14:09","94","104","66","204","25:46","8:01","0.59","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","否","14:08.75.2","1","23.0","00:06:51","00:14:09"
步行,2023-02-10 08:26:45,false,"步行","1.25","83","00:19:02","81","96","86","236","15:13","4:07","0.77","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","否","19:01.84.5","1","22.0","00:13:53","00:19:02"
步行,2023-02-09 22:16:56,false,"步行","0.90","67","00:13:08","103","115","87","212","14:32","5:09","0.79","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","否","13:07.59.1","1","27.0","00:09:29","00:13:08"
步行,2023-02-09 08:41:14,false,"步行","1.22","116","00:22:19","105","124","82","138","18:20","7:39","0.66","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","21.0","0:00","否","22:19.27.9","1","26.0","00:14:46","00:22:19"
步行,2023-02-08 21:59:37,false,"步行","1.03","99","00:16:44","113","128","80","169","16:14","8:35","0.77","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","否","16:43.91.6","1","27.0","00:10:34","00:16:44"
步行,2023-02-08 08:31:48,false,"步行","1.34","98","00:16:24","103","117","100","244","12:16","3:58","0.81","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","19.0","0:00","否","16:24.35.4","1","22.0","00:12:24","00:16:24"
步行,2023-02-07 11:58:57,false,"步行","1.36","106","00:16:49","113","125","101","141","12:20","7:43","0.80","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","否","16:48.79.9","1","29.0","00:13:06","00:16:49"
步行,2023-02-07 07:46:33,false,"步行","1.17","89","00:17:40","97","132","87","153","15:04","8:47","0.76","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","否","17:40.26","1","25.0","00:13:31","00:17:40"
步行,2023-02-06 17:42:08,false,"步行","1.33","101","00:19:33","95","124","91","208","14:43","5:56","0.75","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","19.0","0:00","否","19:33.48.9","1","21.0","00:13:05","00:19:33"
步行,2023-02-06 13:55:09,false,"步行","1.18","88","00:17:49","108","123","84","133","15:09","9:18","0.78","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","21.0","0:00","否","17:49.45.8","1","22.0","00:12:43","00:17:49"
